地区,高等教育毛入学率,教育经费合计
山东,64.20%,35435325
江苏,65.00%,37666305
广东,57.70%,58957182
河北,53.20%,24136854
福建,59.20%,14643507
湖北,71.90%,21595687
湖南,59.50%,23239832
海南,60.80%,4452258
辽宁,60.20%,11531580
重庆,58.00%,14268965
北京,59.00%,14412692
天津,65.00%,5976966
浙江,64.80%,31604868
上海,65.00%,12284171
河南,58.10%,32770897
安徽,50.00%,20853797
江西,52.00%,17882790
山西,58.40%,12823462
陕西,60.00%,14100028
黑龙江,78.40%,9290017
吉林,65.00%,7291754
甘肃,48.30%,9715556
内蒙古,58.40%,10225502
青海,48.80%,3974418
宁夏,58.60%,3446018
新疆,56.4,11800252
四川,51.90%,26876692
云南,50.10%,21483109
广西,52.40%,15213160
贵州,45.70%,17342320
西藏,56.30%,2886786
